Ticker,L_Precision,L_Signals,KNN_RMSE,VWAP_Precision,VWAP_Signals,MOM_Precision,MOM_Signals
APLLTD.NS,0,0,2.294695387036047,0,0,100.0,1
ABSLAMC.NS,0,0,2.294695387036047,0,0,100.0,1
BSOFT.NS,0,0,2.294695387036047,0,0,100.0,1
HAL.NS,0,0,11.312281068822573,0,0,100.0,2
POWERINDIA.NS,0,0,11.312281068822573,0,0,100.0,2
CUB.NS,0,0,11.312281068822573,0,0,100.0,2
UCOBANK.NS,0,0,11.312281068822573,0,0,100.0,2
PTCIL.NS,0,0,11.312281068822573,0,0,100.0,2
OFSS.NS,0,0,11.312281068822573,0,0,100.0,2
TIINDIA.NS,0,0,11.312281068822573,0,0,100.0,2
ADANIENSOL.NS,0,0,13.60892092815109,0,0,100.0,2
FLUOROCHEM.NS,0,0,13.60892092815109,0,0,100.0,2
LT.NS,0,0,13.60892092815109,0,0,100.0,2
ASTERDM.NS,0,0,5.109020777798055,0,0,50.0,2
AMBER.NS,0,0,5.109020777798055,0,0,50.0,2
LTF.NS,0,0,5.109020777798055,0,0,50.0,2
GRAVITA.NS,0,0,5.109020777798055,0,0,50.0,2
CENTRALBK.NS,0,0,109.00499988532619,0,0,60.0,5
DMART.NS,0,0,5.109020777798055,0,0,50.0,2
NTPC.NS,0,0,5.109020777798055,0,0,50.0,2
POWERGRID.NS,0,0,0.9297737674816452,0,0,25.0,4
IIFL.NS,0,0,0.9297737674816452,0,0,25.0,4
INOXWIND.NS,0,0,0.9297737674816452,0,0,25.0,4
ITI.NS,0,0,0.9297737674816452,0,0,25.0,4
ULTRACEMCO.NS,0,0,0.9297737674816452,0,0,25.0,4
HONASA.NS,0,0,0.9297737674816452,0,0,25.0,4
MUTHOOTFIN.NS,0,0,0.9297737674816452,0,0,25.0,4
DLF.NS,0,0,0.9297737674816452,0,0,25.0,4
LTTS.NS,0,0,10.385253616830173,0,0,0,0
OBEROIRLTY.NS,0,0,0.9297737674816452,0,0,25.0,4
BHEL.NS,0,0,6.33384133812675,0,0,75.0,4
GODFRYPHLP.NS,0,0,6.33384133812675,0,0,75.0,4
ELGIEQUIP.NS,0,0,6.33384133812675,0,0,75.0,4
CERA.NS,0,0,6.33384133812675,0,0,75.0,4
AKUMS.NS,0,0,6.33384133812675,0,0,75.0,4
JBCHEPHARM.NS,0,0,6.33384133812675,0,0,75.0,4
ELECON.NS,0,0,6.33384133812675,0,0,75.0,4
SYNGENE.NS,0,0,6.33384133812675,0,0,75.0,4
PCBL.NS,0,0,6.33384133812675,0,0,75.0,4
DOMS.NS,0,0,44.42035569420823,0,0,50.0,2
ASTRAZEN.NS,0,0,2.383918490498754,0,0,0,0
NLCINDIA.NS,0,0,2.383918490498754,0,0,0,0
ABB.NS,0,0,2.220715011964854,0,0,50.0,2
CCL.NS,0,0,2.383918490498754,0,0,0,0
SAMMAANCAP.NS,0,0,2.383918490498754,0,0,0,0
SJVN.NS,0,0,2.383918490498754,0,0,0,0
AGARWALEYE.NS,0,0,2.383918490498754,0,0,0,0
EICHERMOT.NS,0,0,124.95928136797174,0,0,100.0,1
BLS.NS,0,0,124.95928136797174,0,0,100.0,1
SWANCORP.NS,0,0,124.95928136797174,0,0,100.0,1
